shot_id,shot_made_flag
1,0.319
8,0.271
17,0.575
20,0.685
33,0.287
34,0.422
35,0.424
36,0.399
37,0.548
38,0.386
45,0.392
50,0.269
55,0.324
60,0.32
66,0.313
67,0.273
71,0.409
80,0.302
85,0.312
86,0.5
95,0.528
104,0.384
113,0.33
123,0.303
126,0.772
133,0.528
141,0.278
144,0.423
150,0.702
152,0.394
153,0.702
156,0.397
159,0.853
165,0.643
172,0.448
182,0.942
192,0.301
193,0.662
196,0.276
202,0.282
210,0.348
211,0.402
228,0.948
257,0.412
260,0.427
264,0.405
267,0.634
279,0.975
282,0.372
293,0.382
299,0.848
300,0.69
301,0.783
317,0.358
327,0.368
328,0.319
335,0.407
346,0.793
348,0.306
365,0.411
390,0.754
391,0.761
392,0.741
397,0.361
418,0.405
428,0.191
434,0.603
439,0.419
440,0.417
456,0.378
459,0.294
472,0.404
480,0.247
491,0.364
497,0.385
509,0.406
511,0.338
523,0.279
533,0.457
544,0.419
546,0.402
555,0.737
558,0.407
560,0.302
573,0.334
591,0.405
596,0.346
597,0.402
601,0.569
605,0.41
617,0.3
628,0.242
634,0.3
646,0.325
649,0.372
651,0.753
654,0.709
656,0.396
657,0.426
669,0.381
670,0.97
693,0.608
694,0.375
699,0.41
711,0.397
718,0.327
722,0.288
723,0.386
725,0.627
734,0.296
735,0.372
737,0.772
746,0.301
747,0.71
766,0.373
767,0.311
771,0.253
773,0.339
774,0.39
783,0.316
784,0.426
789,0.308
792,0.425
804,0.37
809,0.327
812,0.296
813,0.373
817,0.282
820,0.317
825,0.39
826,0.381
829,0.431
855,0.416
859,0.786
862,0.429
870,0.414
876,0.316
880,0.391
886,0.98
889,0.865
891,0.404
897,0.985
902,0.434
903,0.314
908,0.38
909,0.38
920,0.372
922,0.393
924,0.64
932,0.414
934,0.376
937,0.352
941,0.305
943,0.324
950,0.401
952,0.323
954,0.971
963,0.381
975,0.31
979,0.417
981,0.402
983,0.307
985,0.382
989,0.369
995,0.439
998,0.417
1008,0.275
1019,0.608
1023,0.394
1026,0.368
1029,0.636
1034,0.842
1036,0.586
1038,0.376
1039,0.594
1051,0.42
1052,0.319
1066,0.362
1087,0.283
1092,0.281
1094,0.856
1098,0.407
1099,0.403
1102,0.396
1118,0.429
1131,0.312
1133,0.79
1135,0.957
1138,0.379
1139,0.8
1142,0.425
1151,0.362
1152,0.439
1155,0.792
1165,0.374
1167,0.971
1172,0.363
1174,0.719
1180,0.369
1200,0.42
1202,0.285
1227,0.618
1228,0.636
1229,0.353
1237,0.413
1241,0.354
1256,0.314
1279,0.407
1293,0.298
1295,0.379
1319,0.795
1320,0.366
1321,0.778
1322,0.585
1334,0.225
1351,0.781
1373,0.299
1375,0.293
1380,0.359
1382,0.784
1385,0.391
1399,0.393
1403,0.966
1428,0.309
1434,0.351
1444,0.967
1448,0.433
1466,0.844
1476,0.391
1478,0.421
1485,0.409
1491,0.688
1494,0.604
1500,0.395
1501,0.642
1503,0.41
1519,0.638
1524,0.443
1529,0.779
1533,0.751
1538,0.989
1539,0.271
1546,0.409
1555,0.364
1559,0.373
1563,0.606
1565,0.767
1574,0.353
1591,0.329
1594,0.316
1605,0.282
1611,0.378
1614,0.363
1620,0.293
1626,0.275
1630,0.412
1632,0.426
1634,0.375
1643,0.349
1651,0.405
